------------ VAE architecture optimization ------------
DATE: 23/05/2022
k = 5e-6
epochs = 5000
batch_size = 256
optimizer = Adam (default)

----------------------------------------------------------------------
|  Trial  |    Architecture    |       FID       | Training time [s] |
|   100   |  [685, 128, 434]   |    10.276689    |       76.0        |
|   101   |  [557, 148, 334]   |    0.001086     |       76.0        |
|   102   |  [564, 167, 337]   |    0.028542     |       75.8        |
|   103   |  [500, 189, 312]   |    0.419014     |       76.9        |
|   104   |  [588, 232, 381]   |    0.001409     |       76.3        |
|   105   |  [621, 214, 271]   |    0.497895     |       75.4        |
|   106   |  [416, 166, 293]   |    0.000926     |       76.0        |
|   107   |  [414, 143, 230]   |    0.001437     |       75.2        |
|   108   |  [370, 257, 296]   |    0.001348     |       72.3        |
|   109   |  [762, 205, 281]   |    0.001291     |       75.1        |
|   110   |  [330, 170, 247]   |    0.000787     |       74.2        |
|   111   |  [441, 171, 183]   |    0.004308     |       76.5        |
|   112   |  [331, 143, 246]   |    0.003959     |       74.0        |
|   113   |  [289, 186, 211]   |    0.001249     |       75.3        |
|   114   |  [413, 128, 267]   |    0.001226     |       75.5        |
|   115   |  [322, 162, 315]   |    0.001010     |       74.0        |
|   116   |  [306, 236, 332]   |    0.001400     |       73.4        |
|   117   |  [217, 160, 363]   |    0.001179     |       74.6        |
|   118   |  [337, 285, 233]   |    0.001026     |       74.5        |
|   119   |  [322, 287, 232]   |    0.002035     |       73.6        |
|   120   |  [363, 414, 205]   |    0.030014     |       73.1        |
|   121   |  [256, 212, 254]   |    0.001050     |       72.6        |
|   122   |  [241, 213, 255]   |    0.001777     |       73.2        |
|   123   |  [346, 254, 187]   |    0.004509     |       75.2        |
|   124   |  [259, 184, 288]   |    0.001421     |       74.1        |
|   125   |  [310, 304, 223]   |    0.001273     |       73.4        |
|   126   |  [294, 227, 265]   |    0.001275     |       72.8        |
|   127   |  [389, 342, 155]   |    0.001106     |       75.4        |
|   128   |  [203, 199, 313]   |    0.001447     |       73.2        |
|   129   |  [391, 171, 665]   |    0.001763     |       75.2        |
|   130   |  [349, 944, 240]   |    0.060067     |       74.2        |
|   131   |  [277, 153, 287]   |    0.000865     |       74.7        |
|   132   |  [172, 161, 292]   |    0.001648     |       74.5        |
|   133   |  [234, 192, 279]   |    0.001958     |       75.0        |
|   134   |  [262, 149, 252]   |    0.001740     |       74.4        |
|   135   |  [273, 174, 311]   |    0.001427     |       75.1        |
|   136   |  [817, 213, 208]   |    0.022672     |       74.8        |
|   137   |     [554, 349]     |    0.031727     |       62.6        |
|   138   |  [725, 146, 264]   |    0.000838     |       75.1        |
|   139   |  [738, 148, 275]   |    0.230791     |       75.0        |
|   140   |  [712, 129, 319]   |    0.001717     |       75.3        |
|   141   |  [849, 165, 236]   |    0.000886     |       75.2        |
|   142   |  [849, 170, 232]   |    0.001819     |       75.5        |
|   143   |  [877, 156, 293]   |    0.000991     |       75.3        |
|   144   |  [878, 155, 221]   |    0.001516     |       75.3        |
|   145   |  [906, 192, 267]   |    0.001075     |       75.2        |
|   146   |  [931, 180, 181]   |    0.001450     |       76.0        |
|   147   |  [782, 163, 298]   |    0.023323     |       75.4        |
|   148   |  [855, 145, 234]   |    0.265202     |       75.2        |
|   149   |  [808, 473, 288]   |    0.027007     |       75.2        |
|   150   |  [887, 198, 325]   |    0.338523     |       75.1        |
|   151   |  [681, 128, 304]   |    0.040631     |       75.1        |
|   152   |  [821, 142, 250]   |    0.001255     |       75.2        |
|   153   |  [658, 164, 274]   |    0.160652     |       75.5        |
|   154   |  [751, 181, 347]   |    2.950837     |       75.3        |
|   155   |  [322, 144, 374]   |    1.505507     |       73.9        |
|   156   |  [723, 242, 288]   |    1.830755     |       75.2        |
|   157   |  [789, 163, 215]   |    0.001289     |       75.3        |
|   158   |  [834, 195, 544]   |    0.010636     |       75.0        |
|   159   |  [764, 180, 264]   |    0.003252     |       75.6        |
|   160   |  [701, 225, 199]   |    0.002629     |       75.4        |
|   161   |  [298, 208, 249]   |    0.000975     |       74.1        |
|   162   |  [301, 153, 242]   |    0.001261     |       75.5        |
