------------ VAE architecture optimization ------------
DATE: 23/05/2022
k = 5e-6
epochs = 5000
batch_size = 256
optimizer = Adam (default)

----------------------------------------------------------------------
|  Trial  |    Architecture    |       FID       | Training time [s] |
|   428   |  [568, 204, 187]   |    0.000832     |       75.2        |
|   429   |  [554, 242, 156]   |    0.001118     |       77.5        |
|   430   |  [133, 216, 172]   |    0.002370     |       72.1        |
|   431   |  [572, 231, 180]   |    0.146012     |       75.2        |
|   432   |  [533, 201, 187]   |    0.001380     |       75.2        |
|   433   |  [550, 201, 193]   |    0.000874     |       73.6        |
|   434   |  [522, 223, 204]   |    0.001088     |       74.3        |
|   435   |  [553, 210, 194]   |    0.001396     |       73.7        |
|   436   |  [566, 196, 194]   |    0.001173     |       73.6        |
|   437   |  [589, 248, 139]   |    0.001271     |       75.2        |
|   438   |  [546, 895, 169]   |    0.003471     |       75.2        |
|   439   |  [569, 192, 167]   |    0.001054     |       75.1        |
|   440   |  [537, 225, 129]   |    0.000936     |       74.8        |
|   441   |  [593, 205, 212]   |    0.033619     |       74.3        |
|   442   |  [628, 184, 196]   |    0.000986     |       72.9        |
|   443   |  [506, 212, 185]   |    0.001287     |       75.2        |
|   444   |  [558, 262, 157]   |    0.001045     |       75.3        |
|   445   |  [580, 185, 212]   |    0.001106     |       75.0        |
|   446   |  [528, 239, 225]   |    1.877505     |       74.5        |
|   447   |  [607, 198, 196]   |    0.000731     |       73.6        |
|   448   |  [548, 206, 163]   |    0.000658     |       74.6        |
|   449   |  [540, 217, 141]   |    0.003044     |       75.0        |
|   450   |  [511, 225, 155]   |    0.001507     |       77.9        |
|   451   |  [552, 207, 166]   |    0.001504     |       74.7        |
|   452   |     [239, 173]     |    0.007235     |       60.5        |
|   453   |  [527, 190, 184]   |    0.001195     |       75.3        |
|   454   |  [555, 285, 195]   |    0.001546     |       75.0        |
|   455   |  [643, 183, 168]   |    0.001671     |       75.1        |
|   456   |  [486, 203, 192]   |    0.011462     |       75.2        |
|   457   |  [573, 178, 155]   |    0.002742     |       77.7        |
|   458   |  [951, 226, 201]   |    0.052541     |       73.9        |
|   459   |  [544, 173, 216]   |    0.001162     |       74.6        |
|   460   |  [605, 757, 171]   |    0.047714     |       75.2        |
|   461   |  [622, 201, 186]   |    0.001223     |       75.3        |
|   462   |  [512, 266, 211]   |    0.001501     |       73.3        |
|   463   |  [563, 175, 139]   |    0.001040     |       74.5        |
|   464   |  [524, 213, 206]   |    0.001209     |       73.9        |
|   465   |  [543, 191, 235]   |    0.000743     |       75.1        |
|   466   |  [708, 171, 706]   |    0.190575     |       73.7        |
|   467   |  [590, 475, 236]   |    0.006946     |       74.9        |
|   468   |  [473, 555, 227]   |    0.001530     |       74.7        |
|   469   |  [537, 241, 245]   |    0.721737     |       74.7        |
|   470   |  [491, 189, 236]   |    0.002120     |       75.0        |
|   471   |  [693, 168, 378]   |    0.196658     |       75.0        |
|   472   |  [521, 225, 279]   |    0.013087     |       73.9        |
|   473   |  [567, 155, 263]   |    0.001116     |       74.5        |
|   474   |  [547, 198, 247]   |    0.001695     |       74.2        |
|   475   |  [581, 176, 345]   |    0.001176     |       74.7        |
|   476   |  [538, 208, 223]   |    0.001294     |       74.1        |
|   477   |  [564, 162, 274]   |    0.001306     |       74.8        |
|   478   |  [508, 192, 244]   |    0.001197     |       73.5        |
|   479   |  [612, 154, 328]   |    0.002282     |       74.3        |
|   480   |  [680, 178, 220]   |    0.001789     |       74.7        |
|   481   |  [730, 146, 280]   |    0.001025     |       74.1        |
|   482   |  [586, 215, 250]   |    0.001428     |       74.0        |
|   483   |  [445, 246, 180]   |    0.014023     |       75.2        |
|   484   |  [544, 170, 300]   |    0.037452     |       74.9        |
|   485   |  [565, 184, 151]   |    0.000865     |       78.8        |
|   486   |  [647, 203, 143]   |    0.001824     |       74.9        |
|   487   |  [595, 230, 129]   |    0.002791     |       74.7        |
|   488   |  [566, 187, 189]   |    0.001555     |       75.3        |
|   489   |  [582, 220, 141]   |    0.001180     |       75.0        |
|   490   |     [187, 167]     |    0.013312     |       60.6        |
|   491   |  [625, 205, 160]   |    0.001278     |       77.8        |
|   492   |  [556, 144, 204]   |    0.000902     |       72.9        |
|   493   |  [607, 174, 161]   |    0.000906     |       75.2        |
|   494   |  [574, 192, 155]   |    0.001653     |       78.6        |
|   495   |  [561, 128, 179]   |    0.001857     |       75.3        |
|   496   |  [524, 152, 210]   |    0.001556     |       74.7        |
|   497   |  [592, 252, 408]   |    0.146260     |       74.2        |
|   498   |  [466, 167, 234]   |    0.000649     |       74.9        |  <---
|   499   |  [467, 963, 434]   |    0.043124     |       74.6        |
